f1,f2,f3,f4,tg
9.9,0.1,5400,8,1.3319
9.9,0.125,3600,4,1.287
9.9,0.125,3600,5,1.306
9.9,0.125,3600,6,1.3467
9.9,0.125,3600,7,1.4356
9.9,0.125,3600,8,1.6243
9.9,0.125,4050,4,1.2666
9.9,0.125,4050,5,1.2872
9.9,0.125,4050,6,1.3251
9.9,0.125,4050,7,1.3821
9.9,0.125,4050,8,1.4455
9.9,0.125,4500,4,1.2136
9.9,0.125,4500,5,1.2299
9.9,0.125,4500,6,1.2692
9.9,0.125,4500,7,1.3118
9.9,0.125,4500,8,1.3448
9.9,0.125,4950,4,1.1452
9.9,0.125,4950,5,1.1622
9.9,0.125,4950,6,1.2098
9.9,0.125,4950,7,1.2801
9.9,0.125,4950,8,1.3233
9.9,0.125,5400,4,1.1091
9.9,0.125,5400,5,1.1333
9.9,0.125,5400,6,1.1907
9.9,0.125,5400,7,1.2719
9.9,0.125,5400,8,1.3216
9.9,0.15,3600,4,1.2943
9.9,0.15,3600,5,1.3145
9.9,0.15,3600,6,1.3504
9.9,0.15,3600,7,1.4058
9.9,0.15,3600,8,1.5203
9.9,0.15,4050,4,1.2682
9.9,0.15,4050,5,1.2898
9.9,0.15,4050,6,1.3229
9.9,0.15,4050,7,1.3656
9.9,0.15,4050,8,1.4257
9.9,0.15,4500,4,1.2071
9.9,0.15,4500,5,1.2248
9.9,0.15,4500,6,1.2603
9.9,0.15,4500,7,1.2268
9.9,0.15,4500,8,1.3376
9.9,0.15,4950,4,1.1312
9.9,0.15,4950,5,1.1523
9.9,0.15,4950,6,1.2005
9.9,0.15,4950,7,1.2682
9.9,0.15,4950,8,1.3154
9.9,0.15,5400,4,1.0854
9.9,0.15,5400,5,1.1052
9.9,0.15,5400,6,1.1635
9.9,0.15,5400,7,1.2548
9.9,0.15,5400,8,1.3117
10,0.05,3600,4,1.2227
10,0.05,3600,5,1.248
10,0.05,3600,6,1.3357
10,0.05,3600,7,1.4153
10,0.05,3600,8,1.4293
10,0.05,4050,4,1.1781
10,0.05,4050,5,1.1962
10,0.05,4050,6,1.2587
10,0.05,4050,7,1.3271
10,0.05,4050,8,1.3474
10,0.05,4500,4,1.1447
10,0.05,4500,5,1.1579
10,0.05,4500,6,1.2089
10,0.05,4500,7,1.2861
10,0.05,4500,8,1.3224
10,0.05,4950,4,1.122
10,0.05,4950,5,1.1306
10,0.05,4950,6,1.1845
10,0.05,4950,7,1.2688
10,0.05,4950,8,1.3083
10,0.05,5400,4,1.1111
10,0.05,5400,5,1.1238
10,0.05,5400,6,1.1727
10,0.05,5400,7,1.2593
10,0.05,5400,8,1.3097
10,0.075,3600,4,1.2257
10,0.075,3600,5,1.2635
10,0.075,3600,6,1.3772
10,0.075,3600,7,1.5503
10,0.075,3600,8,1.5014
10,0.075,4050,4,1.1913
10,0.075,4050,5,1.2184
10,0.075,4050,6,1.2926
10,0.075,4050,7,1.3684
10,0.075,4050,8,1.3878
10,0.075,4500,4,1.158
10,0.075,4500,5,1.1755
10,0.075,4500,6,1.2265
10,0.075,4500,7,1.2927
10,0.075,4500,8,1.3337
10,0.075,4950,4,1.1337
10,0.075,4950,5,1.1425
10,0.075,4950,6,1.1918
10,0.075,4950,7,1.2632
10,0.075,4950,8,1.3113
10,0.075,5400,4,1.1173
10,0.075,5400,5,1.1287
10,0.075,5400,6,1.1761
10,0.075,5400,7,1.2505
10,0.075,5400,8,1.3016
10,0.1,3600,4,1.2601
10,0.1,3600,5,1.2964
10,0.1,3600,6,1.3772
10,0.1,3600,7,1.4831
10,0.1,3600,8,1.5437
10,0.1,4050,4,1.2427
10,0.1,4050,5,1.2711
10,0.1,4050,6,1.3271
10,0.1,4050,7,1.4066
10,0.1,4050,8,1.4401
10,0.1,4500,4,1.2099
10,0.1,4500,5,1.2265
10,0.1,4500,6,1.271
10,0.1,4500,7,1.3038
10,0.1,4500,8,1.3462
10,0.1,4950,4,1.1453
10,0.1,4950,5,1.1513
10,0.1,4950,6,1.193
10,0.1,4950,7,1.2515
10,0.1,4950,8,1.3075
10,0.1,5400,4,1.11
10,0.1,5400,5,1.1195
10,0.1,5400,6,1.1674
10,0.1,5400,7,1.2402
10,0.1,5400,8,1.2946
10,0.125,3600,4,1.2866
10,0.125,3600,5,1.3097
10,0.125,3600,6,1.3567
10,0.125,3600,7,1.4413
10,0.125,3600,8,1.5314
10,0.125,4050,4,1.2608
10,0.125,4050,5,1.2865
10,0.125,4050,6,1.3293
10,0.125,4050,7,1.3818
10,0.125,4050,8,1.4323
10,0.125,4500,4,1.2005
10,0.125,4500,5,1.217
10,0.125,4500,6,1.2534
10,0.125,4500,7,1.2957
10,0.125,4500,8,1.3376
10,0.125,4950,4,1.1184
10,0.125,4950,5,1.1328
10,0.125,4950,6,1.1742
10,0.125,4950,7,1.251
10,0.125,4950,8,1.3025
10,0.125,5400,4,1.0806
10,0.125,5400,5,1.0508
10,0.125,5400,6,1.1517
10,0.125,5400,7,1.2379
10,0.125,5400,8,1.2885
10,0.15,3600,4,1.2976
10,0.15,3600,5,1.3193
10,0.15,3600,6,1.3597
10,0.15,3600,7,1.4169
10,0.15,3600,8,1.4943
10,0.15,4050,4,1.266
10,0.15,4050,5,1.2952
10,0.15,4050,6,1.332
10,0.15,4050,7,1.3744
10,0.15,4050,8,1.4207
10,0.15,4500,4,1.207
10,0.15,4500,5,1.2274
10,0.15,4500,6,1.2644
10,0.15,4500,7,1.2972
10,0.15,4500,8,1.3254
10,0.15,4950,4,1.1243
10,0.15,4950,5,1.1425
10,0.15,4950,6,1.1903
10,0.15,4950,7,1.2531
10,0.15,4950,8,1.2972
10,0.15,5400,4,1.0729
10,0.15,5400,5,1.0857
10,0.15,5400,6,1.1469
10,0.15,5400,7,1.2339
10,0.15,5400,8,1.2855
10.1,0.05,3600,4,1.1965
10.1,0.05,3600,5,1.2488
10.1,0.05,3600,6,1.3336
10.1,0.05,3600,7,1.3724
10.1,0.05,3600,8,1.3725
10.1,0.05,4050,4,1.1462
10.1,0.05,4050,5,1.1814
10.1,0.05,4050,6,1.2542
10.1,0.05,4050,7,1.3087
10.1,0.05,4050,8,1.3309
10.1,0.05,4500,4,1.1058
10.1,0.05,4500,5,1.0928
10.1,0.05,4500,6,1.1987
10.1,0.05,4500,7,1.2737
10.1,0.05,4500,8,1.3092
10.1,0.05,4950,4,1.0901
10.1,0.05,4950,5,1.1096
10.1,0.05,4950,6,1.1705
10.1,0.05,4950,7,1.2496
10.1,0.05,4950,8,1.2913
10.1,0.05,5400,4,1.0924
10.1,0.05,5400,5,1.1077
10.1,0.05,5400,6,1.1595
10.1,0.05,5400,7,1.236
10.1,0.05,5400,8,1.2804
10.1,0.075,3600,4,1.2252
10.1,0.075,3600,5,1.285
10.1,0.075,3600,6,1.3752
10.1,0.075,3600,7,1.4308
10.1,0.075,3600,8,1.4373
10.1,0.075,4050,4,1.175
10.1,0.075,4050,5,1.2189
10.1,0.075,4050,6,1.283
10.1,0.075,4050,7,1.3344
10.1,0.075,4050,8,1.3628
10.1,0.075,4500,4,1.1292
10.1,0.075,4500,5,1.1493
10.1,0.075,4500,6,1.2083
10.1,0.075,4500,7,1.2765
10.1,0.075,4500,8,1.3185
10.1,0.075,4950,4,1.1056
10.1,0.075,4950,5,1.1189
10.1,0.075,4950,6,1.1702
10.1,0.075,4950,7,1.2411
10.1,0.075,4950,8,1.2869
10.1,0.075,5400,4,1.1303
10.1,0.075,5400,5,1.1099
10.1,0.075,5400,6,1.154
10.1,0.075,5400,7,1.2225
10.1,0.075,5400,8,1.2697
10.1,0.1,3600,4,1.2575
10.1,0.1,3600,5,1.2944
10.1,0.1,3600,6,1.3625
10.1,0.1,3600,7,1.4297
10.1,0.1,3600,8,1.4773
10.1,0.1,4050,4,1.2207
10.1,0.1,4050,5,1.2601
10.1,0.1,4050,6,1.319
10.1,0.1,4050,7,1.3824
10.1,0.1,4050,8,1.4688
10.1,0.1,4500,4,1.1646
10.1,0.1,4500,5,1.1869
10.1,0.1,4500,6,1.2315
10.1,0.1,4500,7,1.2884
10.1,0.1,4500,8,1.3379
10.1,0.1,4950,4,1.1152
10.1,0.1,4950,5,1.1237
10.1,0.1,4950,6,1.1679
10.1,0.1,4950,7,1.2306
10.1,0.1,4950,8,1.2825
10.1,0.1,5400,4,1.0959
10.1,0.1,5400,5,1.1021
10.1,0.1,5400,6,1.1435
10.1,0.1,5400,7,1.2088
10.1,0.1,5400,8,1.259
10.1,0.125,3600,4,1.2849
10.1,0.125,3600,5,1.3097
10.1,0.125,3600,6,1.3594
10.1,0.125,3600,7,1.4214
10.1,0.125,3600,8,1.471
10.1,0.125,4050,4,1.2541
10.1,0.125,4050,5,1.2804
10.1,0.125,4050,6,1.3244
10.1,0.125,4050,7,1.3776
10.1,0.125,4050,8,1.4158
10.1,0.125,4500,4,1.1809
10.1,0.125,4500,5,1.2048
10.1,0.125,4500,6,1.2427
10.1,0.125,4500,7,1.2857
10.1,0.125,4500,8,1.3352
10.1,0.125,4950,4,1.1106
10.1,0.125,4950,5,1.1198
10.1,0.125,4950,6,1.1616
10.1,0.125,4950,7,1.1773
10.1,0.125,4950,8,1.2808
10.1,0.125,5400,4,1.0785
10.1,0.125,5400,5,1.0868
10.1,0.125,5400,6,1.1341
10.1,0.125,5400,7,1.2099
10.1,0.125,5400,8,1.2606
10.1,0.15,3600,4,1.3001
10.1,0.15,3600,5,1.3221
10.1,0.15,3600,6,1.394
10.1,0.15,3600,7,1.4177
10.1,0.15,3600,8,1.4634
10.1,0.15,4050,4,1.2745
10.1,0.15,4050,5,1.2969
10.1,0.15,4050,6,1.3332
10.1,0.15,4050,7,1.3757
10.1,0.15,4050,8,1.4099
10.1,0.15,4500,4,1.2049
10.1,0.15,4500,5,1.2268
10.1,0.15,4500,6,1.2615
10.1,0.15,4500,7,1.2907
10.1,0.15,4500,8,1.3159
10.1,0.15,4950,4,1.1223
10.1,0.15,4950,5,1.1362
10.1,0.15,4950,6,1.18
10.1,0.15,4950,7,1.2385
10.1,0.15,4950,8,1.2783
10.1,0.15,5400,4,1.0782
10.1,0.15,5400,5,1.0849
10.1,0.15,5400,6,1.1408
10.1,0.15,5400,7,1.2199
10.1,0.15,5400,8,1.2663
10.2,0.05,3600,4,1.1873
10.2,0.05,3600,5,1.2417
10.2,0.05,3600,6,1.3078
10.2,0.05,3600,7,1.3353
10.2,0.05,3600,8,1.3449
10.2,0.05,4050,4,1.1273
10.2,0.05,4050,5,1.1726
10.2,0.05,4050,6,1.2424
10.2,0.05,4050,7,1.2588
10.2,0.05,4050,8,1.3199
10.2,0.05,4500,4,1.0876
10.2,0.05,4500,5,1.1189
10.2,0.05,4500,6,1.1932
10.2,0.05,4500,7,1.2624
10.2,0.05,4500,8,1.298
10.2,0.05,4950,4,1.0833
10.2,0.05,4950,5,1.1062
10.2,0.05,4950,6,1.1656
10.2,0.05,4950,7,1.2349
10.2,0.05,4950,8,1.2727
10.2,0.05,5400,4,1.0934
10.2,0.05,5400,5,1.1065
10.2,0.05,5400,6,1.1532
10.2,0.05,5400,7,1.2141
10.2,0.05,5400,8,1.2542
10.2,0.075,3600,4,1.2138
10.2,0.075,3600,5,1.2652
10.2,0.075,3600,6,1.3274
10.2,0.075,3600,7,1.3649
10.2,0.075,3600,8,1.3868
10.2,0.075,4050,4,1.1643
10.2,0.075,4050,5,1.2047
10.2,0.075,4050,6,1.2677
10.2,0.075,4050,7,1.3165
10.2,0.075,4050,8,1.3483
10.2,0.075,4500,4,1.1129
10.2,0.075,4500,5,1.1383
10.2,0.075,4500,6,1.1997
10.2,0.075,4500,7,1.2661
10.2,0.075,4500,8,1.3072
10.2,0.075,4950,4,1.0959
10.2,0.075,4950,5,1.1105
10.2,0.075,4950,6,1.1323
10.2,0.075,4950,7,1.2279
10.2,0.075,4950,8,1.2717
10.2,0.075,5400,4,1.103
10.2,0.075,5400,5,1.1084
10.2,0.075,5400,6,1.1461
10.2,0.075,5400,7,1.2047
10.2,0.075,5400,8,1.2478
10.2,0.1,3600,4,1.2494
10.2,0.1,3600,5,1.2643
10.2,0.1,3600,6,1.3448
10.2,0.1,3600,7,1.4004
10.2,0.1,3600,8,1.4376
10.2,0.1,4050,4,1.209
10.2,0.1,4050,5,1.2448
10.2,0.1,4050,6,1.3008
10.2,0.1,4050,7,1.3586
10.2,0.1,4050,8,1.4044
10.2,0.1,4500,4,1.1469
10.2,0.1,4500,5,1.1711
10.2,0.1,4500,6,1.2193
10.2,0.1,4500,7,1.2793
10.2,0.1,4500,8,1.3299
10.2,0.1,4950,4,1.1038
10.2,0.1,4950,5,1.1149
10.2,0.1,4950,6,1.1595
10.2,0.1,4950,7,1.2217
10.2,0.1,4950,8,1.2717
10.2,0.1,5400,4,1.0968
10.2,0.1,5400,5,1.0993
10.2,0.1,5400,6,1.1337
10.2,0.1,5400,7,1.1977
10.2,0.1,5400,8,1.2435
10.2,0.125,3600,4,1.2827
10.2,0.125,3600,5,1.3096
10.2,0.125,3600,6,1.3568
10.2,0.125,3600,7,1.4104
10.2,0.125,3600,8,1.4518
10.2,0.125,4050,4,1.248
10.2,0.125,4050,5,1.2741
10.2,0.125,4050,6,1.3181
10.2,0.125,4050,7,1.3713
10.2,0.125,4050,8,1.4105
10.2,0.125,4500,4,1.1188
10.2,0.125,4500,5,1.1984
10.2,0.125,4500,6,1.235
10.2,0.125,4500,7,1.2855
10.2,0.125,4500,8,1.3329
10.2,0.125,4950,4,1.111
10.2,0.125,4950,5,1.1187
10.2,0.125,4950,6,1.1614
